GPS_Time(s),PRN,nSV,pseudorange,C/N0,Elevation,Azimuth,err_tropo,err_iono,sat_clock_error,Pseudorange_residual,Normalized_Pseudorange_residual,Pr_rate_consitency,Sat_pos_x,Sat_pos_y,Sat_pos_z,LOS/NLOS_label
 55866,  5,13,23603873.351000,42.000000,16.358466,95.828485,8.356975,3.529730,-1687.842882,-6.430523,-0.294043,9999.000000,-26399872.022015,2498864.948567,2808480.739379,1.000000
 55866, 12,13,24586680.994000,36.000000,5.374177,152.289288,22.308299,4.499474,97536.368186,15.608424,0.713713,9999.000000,-17431447.120257,10295742.720301,-17281809.385065,1.000000
 55866, 13,13,23068363.933000,28.000000,20.219649,39.430577,6.842037,3.246421,-27929.563527,17.553049,0.802633,9999.000000,-15680802.738385,590018.227500,21322957.095216,-1.000000
 55866, 15,13,20715666.328000,28.000000,49.775156,15.859382,3.119900,1.889531,-105540.296032,-49.387957,-2.258319,9999.000000,-9906863.426171,12945801.142039,20701911.956075,-1.000000
 55866, 21,13,21365559.962000,10.000000,50.882335,307.240595,3.070474,1.861781,-112986.221186,53.946694,2.466773,9999.000000,2456588.593442,21272281.453440,16528661.952209,-1.000000
 55866, 24,13,19799165.907000,45.000000,68.716213,139.226315,2.558036,1.577096,-15483.346547,-0.861388,-0.039388,9999.000000,-14867924.795933,21343547.542453,4422562.483021,1.000000
 55866, 29,13,23064094.489000,37.000000,19.516753,213.027748,7.073742,3.295895,127928.110754,-30.428300,-1.391368,9999.000000,2788679.196711,23575326.844731,-11948265.938434,1.000000
 55866, 36,13,23010653.959000,35.000000,9.829576,63.731521,13.455656,4.075669,79756.476458,-24.141113,-1.103879,9999.000000,-21405890.565122,-3333099.777662,13477283.997026,1.000000
 55866, 37,13,20779724.721000,11.000000,34.926987,16.360636,4.154549,2.408412,-8842.934805,18.977439,0.867764,9999.000000,-8931475.000686,7867967.478856,22560670.019399,-1.000000
 55866, 47,13,20811538.228000,38.000000,33.882272,67.623816,4.265882,2.456366,-3644.210749,-2.462305,-0.112592,9999.000000,-20844213.173277,6384695.649085,13170747.102565,1.000000
 55866, 48,13,20845335.825000,41.000000,32.779721,147.701678,4.391628,2.508771,28655.491156,26.514731,1.212416,9999.000000,-17964396.955087,16507611.437923,-7283992.521706,1.000000
 55866, 51,13,22785667.671000,30.000000,12.717207,183.017758,10.596851,3.823517,-16584.686940,9.550390,0.436702,9999.000000,-6802217.881618,18075297.959525,-16669333.958927,1.000000
 55866, 52,13,20056669.660000,26.000000,46.779622,236.560001,3.268252,1.971623,-102761.726715,-28.439142,-1.300411,9999.000000,1407206.624641,25481037.997807,914472.516865,-1.000000
 55867,  5,11,23604340.385000,40.000000,16.354621,95.835383,8.372153,3.530024,-1687.842317,-17.784317,-1.565857,-0.701823,-26400244.816944,2498568.718788,2805374.781453,1.000000
 55867, 12,11,24586425.163000,36.000000,5.376818,152.283131,22.336283,4.499197,97536.367658,1.351643,0.119008,-0.862858,-17433592.290326,10295467.488489,-17279768.879366,1.000000
 55867, 13,11,23069017.555000,28.000000,20.214126,39.434567,6.854759,3.246817,-27929.563748,36.725496,3.233572,-7.016186,-15681816.335975,587482.595140,21322285.377908,-1.000000
 55867, 15,11,20716106.719000,27.000000,49.770432,15.868354,3.125098,1.889659,-105540.296630,-17.294343,-1.522716,-2.596330,-9908474.089142,12943635.470928,20702527.949353,-1.000000
 55867, 24,11,19799079.364000,43.000000,68.721650,139.208529,2.562013,1.577046,-15483.347383,3.803325,0.334872,0.158597,-14867973.149571,21342863.882089,4425645.876204,1.000000
